matrix_id,mean_total_mflops,min_total_mflops,max_total_mflops,mse_total_mflops,stddev_total_mflops
bcircuit,30.900000,29.000000,33.000000,1.890000,1.374773
bcsstk14,17.700000,12.000000,20.000000,9.210000,3.034798
boyd2,36.500000,34.000000,38.000000,2.450000,1.565248
memplus,31.200000,25.000000,34.000000,7.160000,2.675818
net100,38.100000,27.000000,40.000000,13.890000,3.726929
net125,36.100000,34.000000,38.000000,1.890000,1.374773
net150,37.200000,34.000000,38.000000,1.360000,1.166190
net25,35.900000,34.000000,37.000000,0.490000,0.700000
net50,38.100000,36.000000,39.000000,0.690000,0.830662
net75,37.900000,37.000000,38.000000,0.090000,0.300000
scircuit,36.100000,35.000000,37.000000,0.290000,0.538516
