matrix_id,mean_total_mflops,min_total_mflops,max_total_mflops,mse_total_mflops,stddev_total_mflops
bcircuit,24.000000,20.000000,27.000000,4.200000,2.049390
bcsstk14,14.100000,6.000000,19.000000,18.090000,4.253234
boyd2,33.000000,30.000000,35.000000,2.000000,1.414214
memplus,26.300000,17.000000,33.000000,13.610000,3.689173
net100,37.300000,35.000000,38.000000,0.810000,0.900000
net125,32.500000,32.000000,33.000000,0.250000,0.500000
net150,37.000000,36.000000,38.000000,0.400000,0.632456
net25,33.600000,30.000000,36.000000,6.840000,2.615339
net50,34.900000,17.000000,39.000000,37.090000,6.090156
net75,35.400000,33.000000,38.000000,1.840000,1.356466
scircuit,33.500000,32.000000,34.000000,0.450000,0.670820
