matrix_id,mean_0_kernel_mflops,min_0_kernel_mflops,max_0_kernel_mflops,mse_0_kernel_mflops,stddev_0_kernel_mflops
bcircuit,360.300000,221.000000,422.000000,5662.610000,75.250316
bcsstk14,2536.200000,1931.000000,2897.000000,105145.560000,324.261561
boyd2,35671.500000,32801.000000,38632.000000,4282806.650000,2069.494298
memplus,8221.700000,7247.000000,9125.000000,289712.410000,538.249394
net100,46604.100000,41974.000000,51661.000000,8538877.090000,2922.135707
net125,56124.800000,51053.000000,60778.000000,8101850.160000,2846.374916
net150,59486.500000,56192.000000,63072.000000,3156637.250000,1776.692784
net25,12525.600000,11460.000000,13831.000000,385059.840000,620.531901
net50,27680.800000,26083.000000,30290.000000,1805831.360000,1343.812249
net75,38338.300000,36021.000000,41024.000000,2935337.810000,1713.282758
scircuit,38250.800000,35338.000000,41620.000000,4050309.760000,2012.538139
