matrix_id,mean_0_kernel_mflops,min_0_kernel_mflops,max_0_kernel_mflops,mse_0_kernel_mflops,stddev_0_kernel_mflops
bcircuit,20427.800000,17891.000000,21574.000000,999752.760000,999.876372
bcsstk14,2947.500000,2360.000000,3187.000000,63086.250000,251.169763
boyd2,36004.200000,32194.000000,37793.000000,2940364.960000,1714.749241
memplus,8672.600000,7466.000000,9476.000000,470683.840000,686.064020
net100,48449.800000,46855.000000,49141.000000,841181.760000,917.159615
net125,57895.000000,51053.000000,60778.000000,7707519.000000,2776.241884
net150,65660.500000,63072.000000,68679.000000,2882713.850000,1697.855662
net25,13184.500000,12154.000000,13831.000000,434795.050000,659.389907
net50,28301.800000,26828.000000,29343.000000,539400.760000,734.439078
net75,38663.700000,35164.000000,41024.000000,3878415.010000,1969.369191
scircuit,41138.300000,37458.000000,43556.000000,2612791.210000,1616.413069
