matrix_id,mean_1_kernel_execution_time,min_1_kernel_execution_time,max_1_kernel_execution_time,mse_1_kernel_execution_time,stddev_1_kernel_execution_time
bcircuit,2.435500,1.799000,7.732000,3.119260,1.766143
bcsstk14,1.978800,1.793000,3.581000,0.285278,0.534114
boyd2,1.848400,1.835000,1.868000,0.000120,0.010975
memplus,1.805600,1.789000,1.835000,0.000136,0.011681
net100,1.962500,1.799000,3.319000,0.204586,0.452311
net125,1.830300,1.816000,1.847000,0.000099,0.009970
net150,1.997000,1.834000,3.309000,0.191484,0.437589
net25,1.810400,1.805000,1.815000,0.000012,0.003441
net50,1.821200,1.787000,1.848000,0.000474,0.021766
net75,1.827400,1.798000,1.869000,0.000777,0.027875
scircuit,2.025500,1.795000,3.686000,0.308719,0.555625
