matrix_id,mean_1_kernel_execution_time,min_1_kernel_execution_time,max_1_kernel_execution_time,mse_1_kernel_execution_time,stddev_1_kernel_execution_time
bcircuit,0.029700,0.028000,0.034000,0.000003,0.001676
bcsstk14,0.020800,0.019000,0.023000,0.000002,0.001249
boyd2,0.037600,0.034000,0.047000,0.000014,0.003720
memplus,0.025500,0.023000,0.029000,0.000003,0.001746
net100,0.031500,0.028000,0.036000,0.000007,0.002579
net125,0.033300,0.031000,0.037000,0.000005,0.002147
net150,0.031700,0.029000,0.037000,0.000006,0.002369
net25,0.027200,0.024000,0.030000,0.000005,0.002272
net50,0.027900,0.026000,0.033000,0.000003,0.001868
net75,0.032800,0.028000,0.042000,0.000016,0.004045
scircuit,0.035300,0.032000,0.040000,0.000004,0.002100
