matrix_id,mean_1_kernel_execution_time,min_1_kernel_execution_time,max_1_kernel_execution_time,mse_1_kernel_execution_time,stddev_1_kernel_execution_time
bcircuit,4.336700,3.880000,4.558000,0.059351,0.243621
bcsstk14,0.024300,0.022000,0.027000,0.000004,0.001900
boyd2,0.038700,0.034000,0.042000,0.000006,0.002410
memplus,0.026800,0.024000,0.030000,0.000003,0.001778
net100,0.044300,0.029000,0.067000,0.000210,0.014485
net125,0.043300,0.039000,0.050000,0.000009,0.003068
net150,0.042200,0.033000,0.049000,0.000023,0.004833
net25,0.031800,0.028000,0.035000,0.000003,0.001833
net50,0.026900,0.024000,0.031000,0.000006,0.002508
net75,0.030600,0.027000,0.038000,0.000013,0.003583
scircuit,0.035600,0.030000,0.042000,0.000020,0.004499
