matrix_id,mean_0_kernel_execution_time,min_0_kernel_execution_time,max_0_kernel_execution_time,mse_0_kernel_execution_time,stddev_0_kernel_execution_time
bcircuit,0.032700,0.030000,0.036000,0.000003,0.001792
bcsstk14,0.023200,0.019000,0.026000,0.000004,0.002040
boyd2,0.041300,0.036000,0.047000,0.000010,0.003100
memplus,0.027600,0.026000,0.030000,0.000001,0.001200
net100,0.035700,0.031000,0.043000,0.000012,0.003466
net125,0.038700,0.030000,0.045000,0.000018,0.004244
net150,0.039900,0.034000,0.046000,0.000016,0.004061
net25,0.028000,0.025000,0.030000,0.000003,0.001673
net50,0.029400,0.025000,0.034000,0.000008,0.002800
net75,0.030300,0.027000,0.034000,0.000005,0.002193
scircuit,0.036200,0.032000,0.041000,0.000005,0.002315
