matrix_id,mean_0_kernel_execution_time,min_0_kernel_execution_time,max_0_kernel_execution_time,mse_0_kernel_execution_time,stddev_0_kernel_execution_time
bcircuit,1.965100,1.761000,2.710000,0.099888,0.316051
bcsstk14,1.793300,1.750000,1.847000,0.001010,0.031784
boyd2,1.822000,1.797000,1.900000,0.000885,0.029752
memplus,1.755600,1.744000,1.773000,0.000090,0.009510
net100,2.113500,1.814000,3.258000,0.326152,0.571097
net125,1.871900,1.764000,1.979000,0.005627,0.075014
net150,1.798300,1.770000,1.838000,0.000468,0.021629
net25,1.782500,1.765000,1.796000,0.000090,0.009479
net50,1.801500,1.793000,1.825000,0.000096,0.009821
net75,1.809600,1.798000,1.831000,0.000081,0.008980
scircuit,2.198200,1.761000,3.959000,0.533874,0.730667
