matrix_id,mean_0_kernel_execution_time,min_0_kernel_execution_time,max_0_kernel_execution_time,mse_0_kernel_execution_time,stddev_0_kernel_execution_time
bcircuit,3.457200,2.322000,5.055000,0.985935,0.992942
bcsstk14,0.026700,0.022000,0.030000,0.000007,0.002685
boyd2,0.043000,0.039000,0.047000,0.000010,0.003130
memplus,0.028700,0.025000,0.045000,0.000030,0.005515
net100,0.045400,0.033000,0.070000,0.000195,0.013973
net125,0.039600,0.030000,0.045000,0.000021,0.004565
net150,0.043000,0.039000,0.052000,0.000015,0.003924
net25,0.037500,0.028000,0.060000,0.000105,0.010259
net50,0.034700,0.033000,0.037000,0.000002,0.001345
net75,0.037200,0.033000,0.044000,0.000013,0.003600
scircuit,0.041200,0.032000,0.068000,0.000094,0.009714
