matrix_id,mean_0_nnz,min_0_nnz,max_0_nnz,mse_0_nnz,stddev_0_nnz
bcircuit,94066.000000,94066.000000,94066.000000,0.000000,0.000000
bcsstk14,7893.000000,7893.000000,7893.000000,0.000000,0.000000
boyd2,219266.000000,219266.000000,219266.000000,0.000000,0.000000
memplus,31417.000000,31417.000000,31417.000000,0.000000,0.000000
net100,260202.000000,260202.000000,260202.000000,0.000000,0.000000
net125,327879.000000,327879.000000,327879.000000,0.000000,0.000000
net150,395590.000000,395590.000000,395590.000000,0.000000,0.000000
net25,52479.000000,52479.000000,52479.000000,0.000000,0.000000
net50,120190.000000,120190.000000,120190.000000,0.000000,0.000000
net75,190179.000000,190179.000000,190179.000000,0.000000,0.000000
scircuit,241457.000000,241457.000000,241457.000000,0.000000,0.000000
