matrix_id,mean_0_nnz,min_0_nnz,max_0_nnz,mse_0_nnz,stddev_0_nnz
bcircuit,94799.000000,94799.000000,94799.000000,0.000000,0.000000
bcsstk14,7264.000000,7264.000000,7264.000000,0.000000,0.000000
boyd2,116579.000000,116579.000000,116579.000000,0.000000,0.000000
memplus,74842.000000,74842.000000,74842.000000,0.000000,0.000000
net100,99980.000000,99980.000000,99980.000000,0.000000,0.000000
net125,159510.000000,159510.000000,159510.000000,0.000000,0.000000
net150,219000.000000,219000.000000,219000.000000,0.000000,0.000000
net25,2380.000000,2380.000000,2380.000000,0.000000,0.000000
net50,4080.000000,4080.000000,4080.000000,0.000000,0.000000
net75,40480.000000,40480.000000,40480.000000,0.000000,0.000000
scircuit,248953.000000,248953.000000,248953.000000,0.000000,0.000000
