matrix_id,mean_1_kernel_mflops,min_1_kernel_mflops,max_1_kernel_mflops,mse_1_kernel_mflops,stddev_1_kernel_mflops
bcircuit,97.000000,25.000000,108.000000,582.800000,24.141251
bcsstk14,8.600000,5.000000,9.000000,1.440000,1.200000
boyd2,126.200000,125.000000,127.000000,0.560000,0.748331
memplus,19.900000,19.000000,20.000000,0.090000,0.300000
net100,300.300000,172.000000,317.000000,1833.210000,42.816002
net125,407.800000,404.000000,411.000000,5.160000,2.271563
net150,476.800000,279.000000,503.000000,4363.960000,66.060276
net25,3.000000,3.000000,3.000000,0.000000,0.000000
net50,131.500000,130.000000,134.000000,2.450000,1.565248
net75,221.500000,216.000000,225.000000,11.450000,3.383785
scircuit,262.000000,138.000000,283.000000,1760.200000,41.954738
