matrix_id,mean_1_kernel_mflops,min_1_kernel_mflops,max_1_kernel_mflops,mse_1_kernel_mflops,stddev_1_kernel_mflops
bcircuit,6398.500000,5547.000000,6780.000000,119685.450000,345.955850
bcsstk14,796.100000,737.000000,853.000000,958.290000,30.956259
boyd2,12400.800000,9777.000000,13628.000000,1257843.360000,1121.536161
memplus,2526.700000,2200.000000,2800.000000,30932.610000,175.876690
net100,16780.700000,14520.000000,18822.000000,1969965.610000,1403.554634
net125,19769.800000,17663.000000,21196.000000,1575856.760000,1255.331335
net150,25309.700000,21462.000000,27594.000000,3424604.410000,1850.568672
net25,3768.200000,3379.000000,4260.000000,107885.560000,328.459373
net50,8764.400000,7336.000000,9390.000000,298788.440000,546.615441
net75,11706.700000,8949.000000,13590.000000,1773614.210000,1331.771080
scircuit,13617.900000,11933.000000,15013.000000,657483.290000,810.853433
