matrix_id,r1,r2,r4
bcircuit,1.000000,1.000493,1.315287
bcsstk14,1.000000,1.166448,0.648042
boyd2,1.000000,0.875867,1.286218
memplus,1.000000,1.034668,1.354379
net100,1.000000,0.969772,1.443802
net125,1.000000,0.979617,1.530801
net150,1.000000,0.914900,1.388986
net25,1.000000,0.946436,1.132545
net50,1.000000,0.965566,1.439627
net75,1.000000,0.940743,1.368888
scircuit,1.000000,0.981148,1.397840
