matrix_id,r1,r2,r4
bcircuit,1.000000,0.857754,0.621185
bcsstk14,1.000000,0.592247,0.139349
boyd2,1.000000,0.654655,0.937138
memplus,1.000000,0.798849,0.480916
net100,1.000000,0.728026,0.830183
net125,1.000000,0.796925,0.892113
net150,1.000000,0.816078,0.899083
net25,1.000000,0.549173,0.631882
net50,1.000000,0.645183,0.756007
net75,1.000000,0.731739,0.831133
scircuit,1.000000,0.950139,1.116734
