matrix_id,r1,r2,r4
bcircuit,1.000000,0.770456,0.673368
bcsstk14,1.000000,0.991305,0.672470
boyd2,1.000000,0.685904,1.064273
memplus,1.000000,0.846411,1.124759
net100,1.000000,0.765105,0.876913
net125,1.000000,0.868092,0.994514
net150,1.000000,0.840765,0.929891
net25,1.000000,0.582162,0.898694
net50,1.000000,0.760568,1.035115
net75,1.000000,0.782037,0.947152
scircuit,1.000000,1.004806,1.399797
