matrix_id,mean_0_kernel_mflops,min_0_kernel_mflops,max_0_kernel_mflops,mse_0_kernel_mflops,stddev_0_kernel_mflops
bcircuit,98.600000,70.000000,108.000000,174.440000,13.207574
bcsstk14,8.000000,8.000000,8.000000,0.000000,0.000000
boyd2,127.900000,123.000000,130.000000,3.490000,1.868154
memplus,85.400000,84.000000,86.000000,0.440000,0.663325
net100,99.700000,61.000000,110.000000,374.810000,19.360010
net125,170.800000,161.000000,181.000000,48.560000,6.968501
net150,243.500000,238.000000,247.000000,9.650000,3.106445
net25,3.000000,3.000000,3.000000,0.000000,0.000000
net50,4.800000,4.000000,5.000000,0.160000,0.400000
net75,44.900000,44.000000,45.000000,0.090000,0.300000
scircuit,244.400000,126.000000,283.000000,2912.440000,53.967027
