matrix_id,mean_0_kernel_mflops,min_0_kernel_mflops,max_0_kernel_mflops,mse_0_kernel_mflops,stddev_0_kernel_mflops
bcircuit,5814.100000,5249.000000,6335.000000,110154.090000,331.894697
bcsstk14,692.300000,617.000000,811.000000,3062.410000,55.339046
boyd2,10689.700000,9310.000000,12236.000000,677625.610000,823.180181
memplus,2311.400000,2116.000000,2454.000000,10485.640000,102.399414
net100,14786.100000,12100.000000,16940.000000,2000965.490000,1414.554873
net125,17223.800000,14554.000000,22082.000000,4519876.760000,2126.000179
net150,20086.100000,17170.000000,23413.000000,4641110.490000,2154.323673
net25,3811.900000,3534.000000,4271.000000,62980.690000,250.959539
net50,8347.000000,7114.000000,9781.000000,683864.400000,826.960942
net75,12748.200000,11256.000000,14286.000000,905532.760000,951.594851
scircuit,13455.400000,11790.000000,15213.000000,778725.040000,882.453987
