matrix_id,mean_0_kernel_mflops,min_0_kernel_mflops,max_0_kernel_mflops,mse_0_kernel_mflops,stddev_0_kernel_mflops
bcircuit,59.400000,38.000000,82.000000,254.440000,15.951176
bcsstk14,558.800000,489.000000,676.000000,4135.960000,64.311430
boyd2,5451.800000,4950.000000,5992.000000,168111.760000,410.014341
memplus,5421.500000,3322.000000,6091.000000,533900.050000,730.684645
net100,4783.700000,2872.000000,6102.000000,1427002.610000,1194.572145
net125,8199.600000,7081.000000,10743.000000,1196762.840000,1093.966563
net150,10266.900000,8387.000000,11256.000000,792549.690000,890.252599
net25,135.200000,79.000000,172.000000,793.160000,28.163096
net50,236.500000,221.000000,249.000000,87.250000,9.340771
net75,2203.900000,1839.000000,2471.000000,39844.690000,199.611347
scircuit,12637.400000,7367.000000,15685.000000,5068897.040000,2251.421116
