matrix_id,mean_2_kernel_execution_time,min_2_kernel_execution_time,max_2_kernel_execution_time,mse_2_kernel_execution_time,stddev_2_kernel_execution_time
bcircuit,0.028600,0.026000,0.032000,0.000003,0.001744
bcsstk14,0.023900,0.022000,0.027000,0.000002,0.001513
boyd2,0.039700,0.034000,0.045000,0.000014,0.003743
memplus,0.026100,0.025000,0.028000,0.000001,0.001044
net100,0.031900,0.028000,0.037000,0.000009,0.003048
net125,0.036000,0.031000,0.046000,0.000015,0.003924
net150,0.033800,0.030000,0.038000,0.000007,0.002713
net25,0.026500,0.024000,0.030000,0.000003,0.001688
net50,0.030600,0.027000,0.033000,0.000002,0.001562
net75,0.034400,0.030000,0.041000,0.000012,0.003441
scircuit,0.034900,0.032000,0.043000,0.000009,0.003081
