matrix_id,mean_2_kernel_execution_time,min_2_kernel_execution_time,max_2_kernel_execution_time,mse_2_kernel_execution_time,stddev_2_kernel_execution_time
bcircuit,1.911600,1.717000,2.290000,0.054187,0.232781
bcsstk14,1.728000,1.717000,1.740000,0.000052,0.007239
boyd2,1.917500,1.743000,3.247000,0.196912,0.443748
memplus,1.743700,1.721000,1.782000,0.000283,0.016829
net100,1.759800,1.747000,1.776000,0.000109,0.010458
net125,1.778500,1.762000,1.794000,0.000097,0.009851
net150,1.774500,1.759000,1.790000,0.000089,0.009437
net25,1.733400,1.722000,1.756000,0.000106,0.010307
net50,1.734300,1.716000,1.750000,0.000115,0.010715
net75,2.046400,1.741000,3.200000,0.329054,0.573632
scircuit,1.784800,1.734000,1.903000,0.003279,0.057262
