matrix_id,mean_2_kernel_execution_time,min_2_kernel_execution_time,max_2_kernel_execution_time,mse_2_kernel_execution_time,stddev_2_kernel_execution_time
bcircuit,4.538200,3.858000,5.776000,0.230251,0.479845
bcsstk14,0.025500,0.022000,0.032000,0.000008,0.002766
boyd2,0.041600,0.038000,0.047000,0.000007,0.002577
memplus,0.030500,0.027000,0.033000,0.000002,0.001432
net100,0.040000,0.037000,0.046000,0.000011,0.003347
net125,0.047200,0.046000,0.049000,0.000001,0.000980
net150,0.048400,0.042000,0.053000,0.000008,0.002905
net25,0.025300,0.024000,0.028000,0.000001,0.001100
net50,0.029400,0.028000,0.031000,0.000001,0.000800
net75,0.033700,0.032000,0.035000,0.000001,0.001005
scircuit,0.036700,0.032000,0.040000,0.000006,0.002532
