matrix_id,mean_0_kernel_execution_time,min_0_kernel_execution_time,max_0_kernel_execution_time,mse_0_kernel_execution_time,stddev_0_kernel_execution_time
bcircuit,2.139500,1.774000,3.535000,0.463401,0.680736
bcsstk14,1.920600,1.729000,3.488000,0.273134,0.522623
boyd2,1.784000,1.761000,1.802000,0.000218,0.014778
memplus,1.751000,1.735000,1.767000,0.000153,0.012369
net100,1.948300,1.776000,3.290000,0.200668,0.447960
net125,1.965200,1.769000,3.252000,0.194125,0.440596
net150,1.934900,1.781000,3.170000,0.169673,0.411914
net25,1.783600,1.766000,1.803000,0.000132,0.011482
net50,1.822100,1.799000,1.874000,0.000389,0.019725
net75,1.783000,1.756000,1.815000,0.000312,0.017664
scircuit,1.904900,1.747000,3.112000,0.162195,0.402734
