matrix_id,mean_0_kernel_execution_time,min_0_kernel_execution_time,max_0_kernel_execution_time,mse_0_kernel_execution_time,stddev_0_kernel_execution_time
bcircuit,0.037900,0.034000,0.041000,0.000005,0.002300
bcsstk14,0.024100,0.022000,0.026000,0.000001,0.001044
boyd2,0.048800,0.041000,0.052000,0.000009,0.002993
memplus,0.028300,0.026000,0.031000,0.000003,0.001676
net100,0.041200,0.037000,0.044000,0.000003,0.001778
net125,0.044100,0.041000,0.046000,0.000003,0.001814
net150,0.047000,0.044000,0.048000,0.000001,0.001183
net25,0.027500,0.026000,0.030000,0.000001,0.001204
net50,0.033500,0.032000,0.035000,0.000001,0.000922
net75,0.030800,0.029000,0.035000,0.000004,0.002088
scircuit,0.039500,0.037000,0.043000,0.000002,0.001500
