matrix_id,mean_0_kernel_execution_time,min_0_kernel_execution_time,max_0_kernel_execution_time,mse_0_kernel_execution_time,stddev_0_kernel_execution_time
bcircuit,2.814200,2.055000,3.900000,0.394694,0.628247
bcsstk14,0.028700,0.025000,0.035000,0.000010,0.003132
boyd2,0.043900,0.041000,0.050000,0.000007,0.002700
memplus,0.027100,0.026000,0.028000,0.000000,0.000700
net100,0.038900,0.035000,0.042000,0.000004,0.002119
net125,0.047700,0.043000,0.052000,0.000008,0.002759
net150,0.046900,0.040000,0.052000,0.000011,0.003330
net25,0.035200,0.033000,0.038000,0.000003,0.001720
net50,0.034800,0.033000,0.041000,0.000006,0.002441
net75,0.039400,0.035000,0.050000,0.000027,0.005200
scircuit,0.037600,0.035000,0.041000,0.000004,0.002107
