matrix_id,mean_3_nnz,min_3_nnz,max_3_nnz,mse_3_nnz,stddev_3_nnz
bcircuit,89364.000000,89364.000000,89364.000000,0.000000,0.000000
bcsstk14,8326.000000,8326.000000,8326.000000,0.000000,0.000000
boyd2,349737.000000,349737.000000,349737.000000,0.000000,0.000000
memplus,15668.000000,15668.000000,15668.000000,0.000000,0.000000
net100,115760.000000,115760.000000,115760.000000,0.000000,0.000000
net125,126520.000000,126520.000000,126520.000000,0.000000,0.000000
net150,132000.000000,132000.000000,132000.000000,0.000000,0.000000
net25,99960.000000,99960.000000,99960.000000,0.000000,0.000000
net50,107440.000000,107440.000000,107440.000000,0.000000,0.000000
net75,110280.000000,110280.000000,110280.000000,0.000000,0.000000
scircuit,173075.000000,173075.000000,173075.000000,0.000000,0.000000
