matrix_id,mean_3_nnz,min_3_nnz,max_3_nnz,mse_3_nnz,stddev_3_nnz
bcircuit,93698.000000,93698.000000,93698.000000,0.000000,0.000000
bcsstk14,8482.000000,8482.000000,8482.000000,0.000000,0.000000
boyd2,220284.000000,220284.000000,220284.000000,0.000000,0.000000
memplus,31416.000000,31416.000000,31416.000000,0.000000,0.000000
net100,255578.000000,255578.000000,255578.000000,0.000000,0.000000
net125,325601.000000,325601.000000,325601.000000,0.000000,0.000000
net150,395590.000000,395590.000000,395590.000000,0.000000,0.000000
net25,50201.000000,50201.000000,50201.000000,0.000000,0.000000
net50,120190.000000,120190.000000,120190.000000,0.000000,0.000000
net75,187901.000000,187901.000000,187901.000000,0.000000,0.000000
scircuit,239036.000000,239036.000000,239036.000000,0.000000,0.000000
