matrix_id,mean_total_execution_time,min_total_execution_time,max_total_execution_time,mse_total_execution_time,stddev_total_execution_time
bcircuit,39.310000,19.780000,67.451000,305.934413,17.490981
bcsstk14,27.102400,7.943000,61.062000,327.810883,18.105548
boyd2,52.273100,50.222000,55.148000,2.630600,1.621912
memplus,16.946200,12.407000,24.450000,22.037532,4.694415
net100,66.309200,61.646000,76.616000,15.706159,3.963100
net125,81.361200,78.558000,87.893000,7.251719,2.692902
net150,94.680500,90.830000,101.441000,8.245134,2.871434
net25,18.130600,14.925000,24.208000,9.637613,3.104451
net50,33.464100,28.249000,50.423000,43.124586,6.566931
net75,47.917500,44.791000,56.545000,10.932121,3.306376
scircuit,47.543300,40.176000,72.689000,110.170955,10.496235
