matrix_id,mean_total_execution_time,min_total_execution_time,max_total_execution_time,mse_total_execution_time,stddev_total_execution_time
bcircuit,18.807600,17.505000,21.306000,1.359707,1.166065
bcsstk14,8.358100,3.252000,53.934000,230.796423,15.191985
boyd2,39.207200,37.453000,41.793000,2.331774,1.527015
memplus,6.234000,6.080000,6.504000,0.014293,0.119555
net100,40.443300,38.686000,43.658000,2.317794,1.522430
net125,50.571100,49.582000,52.053000,0.657555,0.810898
net150,61.023600,59.256000,63.694000,1.855011,1.361988
net25,10.226700,8.601000,13.297000,3.481187,1.865794
net50,17.779400,17.009000,21.951000,2.207143,1.485646
net75,29.356600,27.143000,31.735000,1.401759,1.183959
scircuit,38.627600,37.440000,39.427000,0.316863,0.562906
