matrix_id,mean_total_execution_time,min_total_execution_time,max_total_execution_time,mse_total_execution_time,stddev_total_execution_time
bcircuit,46.870200,42.667000,50.580000,6.355410,2.520994
bcsstk14,7.662800,3.318000,37.395000,100.081771,10.004088
boyd2,50.595200,47.886000,53.082000,2.078057,1.441547
memplus,8.718400,7.904000,10.469000,0.867533,0.931415
net100,63.271600,62.019000,64.153000,0.664388,0.815100
net125,80.368700,79.345000,82.526000,0.914161,0.956118
net150,92.162600,91.229000,94.078000,0.682605,0.826199
net25,13.663500,13.188000,14.294000,0.125484,0.354237
net50,28.130700,26.666000,29.211000,0.740217,0.860359
net75,44.938500,43.690000,45.578000,0.379083,0.615697
scircuit,40.867200,39.000000,42.450000,1.508401,1.228170
