matrix_id,mean_1_kernel_execution_time,min_1_kernel_execution_time,max_1_kernel_execution_time,mse_1_kernel_execution_time,stddev_1_kernel_execution_time
bcircuit,0.032000,0.029000,0.037000,0.000005,0.002280
bcsstk14,0.023100,0.022000,0.024000,0.000001,0.000831
boyd2,0.041400,0.038000,0.048000,0.000008,0.002764
memplus,0.027300,0.026000,0.028000,0.000000,0.000640
net100,0.034100,0.032000,0.036000,0.000002,0.001300
net125,0.036800,0.036000,0.039000,0.000001,0.000980
net150,0.039000,0.038000,0.040000,0.000000,0.000632
net25,0.033300,0.031000,0.037000,0.000002,0.001487
net50,0.029400,0.028000,0.031000,0.000001,0.000800
net75,0.035600,0.030000,0.043000,0.000009,0.003040
scircuit,0.036300,0.034000,0.040000,0.000003,0.001847
