matrix_id,mean_1_kernel_execution_time,min_1_kernel_execution_time,max_1_kernel_execution_time,mse_1_kernel_execution_time,stddev_1_kernel_execution_time
bcircuit,4.662900,3.917000,5.516000,0.165665,0.407020
bcsstk14,0.025800,0.023000,0.029000,0.000003,0.001600
boyd2,0.045800,0.042000,0.049000,0.000004,0.001939
memplus,0.031900,0.029000,0.035000,0.000003,0.001814
net100,0.040200,0.038000,0.041000,0.000001,0.000980
net125,0.049000,0.046000,0.053000,0.000004,0.002098
net150,0.050400,0.048000,0.053000,0.000001,0.001200
net25,0.029500,0.028000,0.031000,0.000001,0.000806
net50,0.033500,0.032000,0.035000,0.000001,0.000922
net75,0.038200,0.037000,0.043000,0.000003,0.001661
scircuit,0.046800,0.045000,0.051000,0.000003,0.001600
