matrix_id,mean_1_kernel_execution_time,min_1_kernel_execution_time,max_1_kernel_execution_time,mse_1_kernel_execution_time,stddev_1_kernel_execution_time
bcircuit,1.944600,1.795000,2.933000,0.111528,0.333958
bcsstk14,1.792600,1.781000,1.800000,0.000038,0.006184
boyd2,2.172900,1.836000,3.570000,0.416621,0.645462
memplus,1.821900,1.809000,1.847000,0.000103,0.010134
net100,2.006300,1.838000,3.339000,0.199244,0.446368
net125,1.999800,1.827000,3.317000,0.195164,0.441773
net150,1.997000,1.824000,3.336000,0.199420,0.446565
net25,1.807800,1.795000,1.825000,0.000092,0.009600
net50,1.824400,1.806000,1.836000,0.000082,0.009047
net75,1.824300,1.798000,1.838000,0.000112,0.010574
scircuit,1.905700,1.880000,1.925000,0.000170,0.013039
