matrix_id,mean_0_nnz,min_0_nnz,max_0_nnz,mse_0_nnz,stddev_0_nnz
bcircuit,191630.000000,191630.000000,191630.000000,0.000000,0.000000
bcsstk14,15574.000000,15574.000000,15574.000000,0.000000,0.000000
boyd2,233158.000000,233158.000000,233158.000000,0.000000,0.000000
memplus,92595.000000,92595.000000,92595.000000,0.000000,0.000000
net100,384880.000000,384880.000000,384880.000000,0.000000,0.000000
net125,532780.000000,532780.000000,532780.000000,0.000000,0.000000
net150,680680.000000,680680.000000,680680.000000,0.000000,0.000000
net25,4760.000000,4760.000000,4760.000000,0.000000,0.000000
net50,123760.000000,123760.000000,123760.000000,0.000000,0.000000
net75,242760.000000,242760.000000,242760.000000,0.000000,0.000000
scircuit,502613.000000,502613.000000,502613.000000,0.000000,0.000000
