matrix_id,mean_total_mflops,min_total_mflops,max_total_mflops,mse_total_mflops,stddev_total_mflops
bcircuit,40.000000,35.000000,43.000000,5.600000,2.366432
bcsstk14,18.100000,1.000000,20.000000,32.490000,5.700000
boyd2,45.500000,43.000000,48.000000,3.050000,1.746425
memplus,40.400000,39.000000,41.000000,0.640000,0.800000
net100,51.100000,47.000000,53.000000,3.490000,1.868154
net125,51.600000,50.000000,53.000000,0.840000,0.916515
net150,52.000000,50.000000,53.000000,1.200000,1.095445
net25,41.500000,31.000000,48.000000,46.050000,6.786015
net50,54.400000,44.000000,57.000000,14.440000,3.800000
net75,51.600000,48.000000,56.000000,4.440000,2.107131
scircuit,49.500000,49.000000,51.000000,0.450000,0.670820
