matrix_id,mean_2_nnz,min_2_nnz,max_2_nnz,mse_2_nnz,stddev_2_nnz
bcircuit,94067.000000,94067.000000,94067.000000,0.000000,0.000000
bcsstk14,7955.000000,7955.000000,7955.000000,0.000000,0.000000
boyd2,220284.000000,220284.000000,220284.000000,0.000000,0.000000
memplus,31779.000000,31779.000000,31779.000000,0.000000,0.000000
net100,255578.000000,255578.000000,255578.000000,0.000000,0.000000
net125,327913.000000,327913.000000,327913.000000,0.000000,0.000000
net150,395590.000000,395590.000000,395590.000000,0.000000,0.000000
net25,52513.000000,52513.000000,52513.000000,0.000000,0.000000
net50,120190.000000,120190.000000,120190.000000,0.000000,0.000000
net75,190213.000000,190213.000000,190213.000000,0.000000,0.000000
scircuit,240157.000000,240157.000000,240157.000000,0.000000,0.000000
