matrix_id,mean_1_kernel_mflops,min_1_kernel_mflops,max_1_kernel_mflops,mse_1_kernel_mflops,stddev_1_kernel_mflops
bcircuit,11869.600000,10168.000000,13074.000000,691578.440000,831.611953
bcsstk14,1485.300000,1425.000000,1561.000000,3180.210000,56.393351
boyd2,21877.400000,18723.000000,23783.000000,1985628.640000,1409.123359
memplus,4677.900000,4554.000000,4918.000000,13210.890000,114.938636
net100,30481.500000,28782.000000,32496.000000,1428946.450000,1195.385482
net125,35551.100000,33469.000000,36337.000000,896057.490000,946.603132
net150,40676.200000,39622.000000,41764.000000,459004.560000,677.498753
net25,6081.300000,5445.000000,6534.000000,71864.010000,268.074635
net50,16544.600000,15650.000000,17389.000000,214221.240000,462.840404
net75,21369.300000,17474.000000,25308.000000,3305111.610000,1817.996592
scircuit,26480.600000,23904.000000,28251.000000,1836289.440000,1355.097576
