matrix_id,mean_1_kernel_mflops,min_1_kernel_mflops,max_1_kernel_mflops,mse_1_kernel_mflops,stddev_1_kernel_mflops
bcircuit,193.000000,125.000000,205.000000,545.200000,23.349518
bcsstk14,19.000000,19.000000,19.000000,0.000000,0.000000
boyd2,643.900000,368.000000,716.000000,17446.290000,132.084405
memplus,36.900000,36.000000,37.000000,0.090000,0.300000
net100,665.600000,387.000000,704.000000,8858.440000,94.119286
net125,799.000000,467.000000,848.000000,12672.000000,112.569978
net150,932.200000,541.000000,989.000000,17061.360000,130.619141
net25,221.900000,220.000000,224.000000,1.490000,1.220656
net50,391.300000,389.000000,395.000000,3.210000,1.791647
net75,563.100000,559.000000,571.000000,10.090000,3.176476
scircuit,478.800000,474.000000,485.000000,10.960000,3.310589
