matrix_id,mean_1_kernel_mflops,min_1_kernel_mflops,max_1_kernel_mflops,mse_1_kernel_mflops,stddev_1_kernel_mflops
bcircuit,79.500000,67.000000,94.000000,45.850000,6.771263
bcsstk14,1348.600000,1190.000000,1514.000000,7268.040000,85.252801
boyd2,28694.100000,26731.000000,31294.000000,1562862.490000,1250.144988
memplus,2128.500000,1928.000000,2341.000000,16133.250000,127.016731
net100,32241.200000,31576.000000,34136.000000,685923.360000,828.204902
net125,31561.500000,29078.000000,33602.000000,1895155.650000,1376.646523
net150,35670.800000,33867.000000,37470.000000,746011.960000,863.719839
net25,13758.300000,13060.000000,14511.000000,152112.810000,390.016423
net50,21471.700000,20508.000000,22492.000000,380058.810000,616.489100
net75,27004.300000,23875.000000,27854.000000,1201459.410000,1096.111039
scircuit,19482.400000,17825.000000,20256.000000,421099.640000,648.921906
