matrix_id,mean_0_kernel_mflops,min_0_kernel_mflops,max_0_kernel_mflops,mse_0_kernel_mflops,stddev_0_kernel_mflops
bcircuit,192.300000,108.000000,216.000000,1719.610000,41.468181
bcsstk14,17.100000,9.000000,18.000000,7.290000,2.700000
boyd2,261.500000,259.000000,265.000000,5.250000,2.291288
memplus,105.900000,105.000000,107.000000,0.890000,0.943398
net100,408.600000,234.000000,434.000000,3424.440000,58.518715
net125,560.600000,328.000000,602.000000,6823.840000,82.606537
net150,724.500000,429.000000,764.000000,9731.850000,98.650139
net25,5.000000,5.000000,5.000000,0.000000,0.000000
net50,135.900000,132.000000,138.000000,2.490000,1.577973
net75,272.200000,268.000000,276.000000,6.160000,2.481935
scircuit,543.200000,323.000000,575.000000,5415.360000,73.589130
