matrix_id,mean_0_kernel_mflops,min_0_kernel_mflops,max_0_kernel_mflops,mse_0_kernel_mflops,stddev_0_kernel_mflops
bcircuit,142.500000,98.000000,186.000000,842.650000,29.028434
bcsstk14,1111.400000,895.000000,1267.000000,14045.040000,118.511772
boyd2,10654.900000,9294.000000,11385.000000,396041.490000,629.318274
memplus,6934.200000,6698.000000,7234.000000,34950.760000,186.951224
net100,19896.800000,18335.000000,22109.000000,1251535.360000,1118.720412
net125,22361.300000,20404.000000,24776.000000,1794035.410000,1339.416071
net150,29127.600000,26068.000000,34089.000000,5111741.840000,2260.916151
net25,272.500000,251.000000,291.000000,183.850000,13.559130
net50,7185.600000,6043.000000,7554.000000,223808.840000,473.084390
net75,12543.600000,9676.000000,13945.000000,2110904.240000,1452.895124
scircuit,26909.100000,24542.000000,28873.000000,2308552.690000,1519.392211
