matrix_id,mean_2_kernel_mflops,min_2_kernel_mflops,max_2_kernel_mflops,mse_2_kernel_mflops,stddev_2_kernel_mflops
bcircuit,100.200000,83.000000,110.000000,119.360000,10.925200
bcsstk14,10.000000,10.000000,10.000000,0.000000,0.000000
boyd2,331.600000,189.000000,353.000000,2280.240000,47.751859
memplus,20.600000,20.000000,21.000000,0.240000,0.489898
net100,603.500000,598.000000,608.000000,12.450000,3.528456
net125,728.300000,722.000000,735.000000,15.810000,3.976179
net150,867.400000,860.000000,875.000000,20.840000,4.565085
net25,116.200000,115.000000,117.000000,0.560000,0.748331
net50,287.900000,285.000000,291.000000,3.090000,1.757840
net75,417.000000,252.000000,463.000000,6771.200000,82.287302
scircuit,317.800000,298.000000,327.000000,96.560000,9.826495
