matrix_id,mean_2_kernel_mflops,min_2_kernel_mflops,max_2_kernel_mflops,mse_2_kernel_mflops,stddev_2_kernel_mflops
bcircuit,42.000000,33.000000,49.000000,15.800000,3.974921
bcsstk14,701.900000,548.000000,809.000000,5424.290000,73.649779
boyd2,14835.400000,13043.000000,16216.000000,821737.040000,906.497126
memplus,1186.700000,1092.000000,1343.000000,3687.210000,60.722401
net100,26772.500000,23043.000000,28804.000000,4605148.050000,2145.960869
net125,27392.200000,26353.000000,28110.000000,334589.160000,578.436825
net150,31839.800000,28909.000000,36665.000000,4191051.160000,2047.205696
net25,8104.800000,7280.000000,8546.000000,122283.960000,349.691235
net50,17176.400000,16247.000000,18053.000000,230756.040000,480.370732
net75,24100.300000,23157.000000,25398.000000,548477.610000,740.592742
scircuit,15578.200000,14185.000000,17845.000000,1344514.360000,1159.531957
