matrix_id,mean_2_kernel_mflops,min_2_kernel_mflops,max_2_kernel_mflops,mse_2_kernel_mflops,stddev_2_kernel_mflops
bcircuit,6683.400000,5927.000000,7349.000000,177478.840000,421.282376
bcsstk14,681.200000,598.000000,740.000000,1827.560000,42.749971
boyd2,11223.500000,9778.000000,13038.000000,1209068.050000,1099.576305
memplus,2477.000000,2299.000000,2586.000000,10358.000000,101.774260
net100,16308.100000,13866.000000,18488.000000,2434972.290000,1560.439775
net125,18506.000000,14232.000000,21349.000000,3499673.200000,1870.741350
net150,23718.600000,20882.000000,26643.000000,3882680.240000,1970.451786
net25,4039.600000,3537.000000,4459.000000,67517.440000,259.841182
net50,7953.900000,7336.000000,9029.000000,194220.290000,440.704311
net75,11234.700000,9288.000000,12811.000000,1179076.610000,1085.852941
scircuit,13938.000000,11168.000000,15131.000000,1257043.800000,1121.179647
