matrix_id,mean_0_kernel_execution_time,min_0_kernel_execution_time,max_0_kernel_execution_time,mse_0_kernel_execution_time,stddev_0_kernel_execution_time
bcircuit,2.206300,1.780000,3.404000,0.343429,0.586028
bcsstk14,0.026600,0.023000,0.034000,0.000014,0.003720
boyd2,0.049900,0.046000,0.054000,0.000008,0.002844
memplus,0.031100,0.028000,0.035000,0.000004,0.002022
net100,0.044400,0.040000,0.049000,0.000007,0.002691
net125,0.046600,0.043000,0.051000,0.000005,0.002332
net150,0.053000,0.050000,0.056000,0.000002,0.001549
net25,0.033100,0.030000,0.036000,0.000002,0.001578
net50,0.035000,0.032000,0.037000,0.000003,0.001612
net75,0.039600,0.037000,0.042000,0.000003,0.001744
scircuit,0.050100,0.046000,0.054000,0.000007,0.002587
