matrix_id,mean_1_nnz,min_1_nnz,max_1_nnz,mse_1_nnz,stddev_1_nnz
bcircuit,183928.000000,183928.000000,183928.000000,0.000000,0.000000
bcsstk14,17056.000000,17056.000000,17056.000000,0.000000,0.000000
boyd2,656933.000000,656933.000000,656933.000000,0.000000,0.000000
memplus,33555.000000,33555.000000,33555.000000,0.000000,0.000000
net100,646680.000000,646680.000000,646680.000000,0.000000,0.000000
net125,774180.000000,774180.000000,774180.000000,0.000000,0.000000
net150,901680.000000,901680.000000,901680.000000,0.000000,0.000000
net25,200600.000000,200600.000000,200600.000000,0.000000,0.000000
net50,357000.000000,357000.000000,357000.000000,0.000000,0.000000
net75,513400.000000,513400.000000,513400.000000,0.000000,0.000000
scircuit,456323.000000,456323.000000,456323.000000,0.000000,0.000000
