matrix_id,mean_1_nnz,min_1_nnz,max_1_nnz,mse_1_nnz,stddev_1_nnz
bcircuit,187425.000000,187425.000000,187425.000000,0.000000,0.000000
bcsstk14,16782.000000,16782.000000,16782.000000,0.000000,0.000000
boyd2,450541.000000,450541.000000,450541.000000,0.000000,0.000000
memplus,62954.000000,62954.000000,62954.000000,0.000000,0.000000
net100,515780.000000,515780.000000,515780.000000,0.000000,0.000000
net125,651168.000000,651168.000000,651168.000000,0.000000,0.000000
net150,791180.000000,791180.000000,791180.000000,0.000000,0.000000
net25,100368.000000,100368.000000,100368.000000,0.000000,0.000000
net50,240380.000000,240380.000000,240380.000000,0.000000,0.000000
net75,375768.000000,375768.000000,375768.000000,0.000000,0.000000
scircuit,477322.000000,477322.000000,477322.000000,0.000000,0.000000
