matrix_id,mean_total_execution_time,min_total_execution_time,max_total_execution_time,mse_total_execution_time,stddev_total_execution_time
bcircuit,24.418800,22.707000,26.289000,1.302734,1.141374
bcsstk14,3.776700,3.187000,5.271000,0.562376,0.749917
boyd2,48.987100,46.740000,52.999000,4.578328,2.139703
memplus,8.149700,7.438000,10.267000,0.658101,0.811234
net100,55.048800,52.099000,75.402000,46.248328,6.800612
net125,72.583400,69.416000,77.229000,8.017893,2.831588
net150,85.125600,83.115000,92.088000,6.308649,2.511702
net25,11.456400,11.167000,12.086000,0.054797,0.234087
net50,25.299100,24.533000,26.600000,0.314152,0.560492
net75,39.825800,39.282000,40.645000,0.173115,0.416071
scircuit,53.093200,52.519000,54.739000,0.382604,0.618550
