matrix_id,r1,r2,r4
bcircuit,1.000000,0.500247,0.328822
bcsstk14,1.000000,0.583224,0.162011
boyd2,1.000000,0.437933,0.321554
memplus,1.000000,0.517334,0.338595
net100,1.000000,0.484886,0.360950
net125,1.000000,0.489808,0.382700
net150,1.000000,0.457450,0.347246
net25,1.000000,0.473218,0.283136
net50,1.000000,0.482783,0.359907
net75,1.000000,0.470371,0.342222
scircuit,1.000000,0.490574,0.349460
