matrix_id,r1,r2,r4
bcircuit,1.000000,0.385228,0.168342
bcsstk14,1.000000,0.495652,0.168117
boyd2,1.000000,0.342952,0.266068
memplus,1.000000,0.423206,0.281190
net100,1.000000,0.382552,0.219228
net125,1.000000,0.434046,0.248629
net150,1.000000,0.420383,0.232473
net25,1.000000,0.291081,0.224673
net50,1.000000,0.380284,0.258779
net75,1.000000,0.391018,0.236788
scircuit,1.000000,0.502403,0.349949
