matrix_id,mean_1_nnz,min_1_nnz,max_1_nnz,mse_1_nnz,stddev_1_nnz
bcircuit,96837.000000,96837.000000,96837.000000,0.000000,0.000000
bcsstk14,8337.000000,8337.000000,8337.000000,0.000000,0.000000
boyd2,116579.000000,116579.000000,116579.000000,0.000000,0.000000
memplus,17756.000000,17756.000000,17756.000000,0.000000,0.000000
net100,284900.000000,284900.000000,284900.000000,0.000000,0.000000
net125,373270.000000,373270.000000,373270.000000,0.000000,0.000000
net150,461680.000000,461680.000000,461680.000000,0.000000,0.000000
net25,2380.000000,2380.000000,2380.000000,0.000000,0.000000
net50,119680.000000,119680.000000,119680.000000,0.000000,0.000000
net75,202280.000000,202280.000000,202280.000000,0.000000,0.000000
scircuit,253666.000000,253666.000000,253666.000000,0.000000,0.000000
