matrix_id,mean_1_nnz,min_1_nnz,max_1_nnz,mse_1_nnz,stddev_1_nnz
bcircuit,93727.000000,93727.000000,93727.000000,0.000000,0.000000
bcsstk14,8300.000000,8300.000000,8300.000000,0.000000,0.000000
boyd2,230257.000000,230257.000000,230257.000000,0.000000,0.000000
memplus,31538.000000,31538.000000,31538.000000,0.000000,0.000000
net100,260202.000000,260202.000000,260202.000000,0.000000,0.000000
net125,325567.000000,325567.000000,325567.000000,0.000000,0.000000
net150,395590.000000,395590.000000,395590.000000,0.000000,0.000000
net25,50167.000000,50167.000000,50167.000000,0.000000,0.000000
net50,120190.000000,120190.000000,120190.000000,0.000000,0.000000
net75,187867.000000,187867.000000,187867.000000,0.000000,0.000000
scircuit,238286.000000,238286.000000,238286.000000,0.000000,0.000000
