matrix_id,mean_3_kernel_execution_time,min_3_kernel_execution_time,max_3_kernel_execution_time,mse_3_kernel_execution_time,stddev_3_kernel_execution_time
bcircuit,0.030200,0.028000,0.032000,0.000002,0.001400
bcsstk14,0.020900,0.019000,0.022000,0.000001,0.001136
boyd2,0.037700,0.034000,0.042000,0.000006,0.002369
memplus,0.027200,0.025000,0.029000,0.000002,0.001327
net100,0.031800,0.029000,0.035000,0.000004,0.001939
net125,0.032900,0.031000,0.039000,0.000006,0.002548
net150,0.034900,0.032000,0.040000,0.000006,0.002385
net25,0.027600,0.024000,0.033000,0.000006,0.002498
net50,0.027200,0.024000,0.031000,0.000004,0.001887
net75,0.029000,0.026000,0.031000,0.000002,0.001414
scircuit,0.033100,0.030000,0.038000,0.000004,0.002119
