matrix_id,mean_3_kernel_execution_time,min_3_kernel_execution_time,max_3_kernel_execution_time,mse_3_kernel_execution_time,stddev_3_kernel_execution_time
bcircuit,1.842700,1.819000,1.926000,0.000879,0.029645
bcsstk14,1.801400,1.790000,1.824000,0.000132,0.011491
boyd2,1.832800,1.818000,1.858000,0.000131,0.011444
memplus,1.814400,1.798000,1.839000,0.000149,0.012225
net100,2.018500,1.802000,3.540000,0.258081,0.508017
net125,2.015200,1.858000,3.330000,0.192152,0.438351
net150,1.876300,1.857000,1.900000,0.000141,0.011892
net25,1.804600,1.791000,1.828000,0.000117,0.010828
net50,1.818200,1.803000,1.840000,0.000134,0.011574
net75,1.972900,1.815000,3.282000,0.190556,0.436527
scircuit,1.837300,1.823000,1.861000,0.000116,0.010752
