matrix_id,mean_total_mflops,min_total_mflops,max_total_mflops,mse_total_mflops,stddev_total_mflops
bcircuit,26.600000,24.000000,28.000000,1.640000,1.280625
bcsstk14,10.400000,8.000000,13.000000,2.040000,1.428286
boyd2,23.800000,22.000000,25.000000,1.160000,1.077033
memplus,24.800000,22.000000,26.000000,1.560000,1.249000
net100,27.300000,26.000000,28.000000,0.410000,0.640312
net125,28.700000,28.000000,29.000000,0.210000,0.458258
net150,30.400000,29.000000,31.000000,0.440000,0.663325
net25,19.600000,18.000000,20.000000,0.440000,0.663325
net50,24.600000,22.000000,26.000000,1.240000,1.113553
net75,28.000000,25.000000,29.000000,1.400000,1.183216
scircuit,34.300000,34.000000,35.000000,0.210000,0.458258
