matrix_id,mean_total_mflops,min_total_mflops,max_total_mflops,mse_total_mflops,stddev_total_mflops
bcircuit,18.400000,16.000000,21.000000,2.840000,1.685230
bcsstk14,14.100000,7.000000,18.000000,16.490000,4.060788
boyd2,22.500000,22.000000,23.000000,0.250000,0.500000
memplus,22.300000,18.000000,27.000000,8.610000,2.934280
net100,28.300000,28.000000,29.000000,0.210000,0.458258
net125,28.400000,28.000000,29.000000,0.240000,0.489898
net150,31.000000,31.000000,31.000000,0.000000,0.000000
net25,19.300000,18.000000,21.000000,0.610000,0.781025
net50,25.200000,25.000000,26.000000,0.160000,0.400000
net75,27.800000,27.000000,28.000000,0.160000,0.400000
scircuit,33.700000,33.000000,35.000000,0.610000,0.781025
