matrix_id,mean_total_mflops,min_total_mflops,max_total_mflops,mse_total_mflops,stddev_total_mflops
bcircuit,30.400000,28.000000,32.000000,1.040000,1.019804
bcsstk14,14.700000,10.000000,18.000000,10.410000,3.226453
boyd2,30.700000,29.000000,32.000000,0.610000,0.781025
memplus,31.000000,28.000000,32.000000,1.400000,1.183216
net100,34.000000,34.000000,34.000000,0.000000,0.000000
net125,33.000000,32.000000,34.000000,0.200000,0.447214
net150,34.000000,34.000000,34.000000,0.000000,0.000000
net25,33.600000,31.000000,34.000000,0.840000,0.916515
net50,36.000000,36.000000,36.000000,0.000000,0.000000
net75,35.400000,33.000000,36.000000,0.840000,0.916515
scircuit,34.800000,34.000000,35.000000,0.160000,0.400000
