matrix_id,mean_total_execution_time,min_total_execution_time,max_total_execution_time,mse_total_execution_time,stddev_total_execution_time
bcircuit,24.725200,23.680000,26.571000,0.523150,0.723291
bcsstk14,4.643500,3.559000,6.385000,1.113338,1.055149
boyd2,57.576100,56.182000,60.354000,1.495299,1.222824
memplus,8.160300,7.886000,9.147000,0.120652,0.347350
net100,60.212200,59.946000,60.776000,0.064269,0.253514
net125,79.025100,77.773000,81.562000,1.022979,1.011424
net150,92.645000,92.287000,93.080000,0.068238,0.261225
net25,12.237700,12.070000,13.175000,0.101095,0.317954
net50,26.508500,26.394000,26.756000,0.009237,0.096107
net75,42.717200,42.129000,45.728000,1.050717,1.025045
scircuit,55.032700,54.509000,56.193000,0.318872,0.564688
