matrix_id,mean_total_execution_time,min_total_execution_time,max_total_execution_time,mse_total_execution_time,stddev_total_execution_time
bcircuit,40.963900,35.656000,45.533000,11.263765,3.356153
bcsstk14,5.198200,3.578000,9.433000,3.738170,1.933435
boyd2,78.505300,76.759000,79.740000,1.200728,1.095777
memplus,11.585500,9.464000,14.067000,2.413132,1.553426
net100,72.517800,70.481000,73.762000,0.886226,0.941396
net125,92.073000,90.595000,93.191000,0.796154,0.892275
net150,101.932400,100.943000,102.878000,0.426106,0.652768
net25,21.092600,19.987000,22.375000,0.350577,0.592096
net50,38.285200,37.059000,38.771000,0.263197,0.513027
net75,54.426600,53.659000,56.653000,1.051053,1.025209
scircuit,56.932200,55.080000,57.990000,0.929865,0.964295
