matrix_id,mean_3_kernel_mflops,min_3_kernel_mflops,max_3_kernel_mflops,mse_3_kernel_mflops,stddev_3_kernel_mflops
bcircuit,97.000000,93.000000,98.000000,2.200000,1.483240
bcsstk14,9.000000,9.000000,9.000000,0.000000,0.000000
boyd2,381.800000,377.000000,385.000000,5.360000,2.315167
memplus,17.000000,17.000000,17.000000,0.000000,0.000000
net100,119.200000,65.000000,128.000000,329.760000,18.159295
net125,129.300000,76.000000,136.000000,316.010000,17.776670
net150,140.500000,139.000000,142.000000,0.850000,0.921954
net25,110.700000,109.000000,112.000000,0.610000,0.781025
net50,118.300000,117.000000,119.000000,0.610000,0.781025
net75,115.300000,67.000000,122.000000,259.810000,16.118623
scircuit,188.500000,186.000000,190.000000,1.250000,1.118034
