matrix_id,mean_3_kernel_mflops,min_3_kernel_mflops,max_3_kernel_mflops,mse_3_kernel_mflops,stddev_3_kernel_mflops
bcircuit,40.800000,31.000000,49.000000,22.160000,4.707441
bcsstk14,661.700000,561.000000,739.000000,5576.810000,74.678042
boyd2,18897.900000,17515.000000,20091.000000,535257.890000,731.613211
memplus,1062.200000,900.000000,1275.000000,16054.760000,126.707379
net100,6339.800000,2074.000000,8696.000000,4467485.760000,2113.642770
net125,5937.700000,5258.000000,6864.000000,158690.410000,398.359649
net150,6291.900000,3631.000000,8057.000000,1671163.890000,1292.735042
net25,7383.200000,6973.000000,8135.000000,120734.760000,347.469078
net50,7686.200000,6769.000000,8071.000000,203127.360000,450.696528
net75,7010.300000,3215.000000,8284.000000,1830932.810000,1353.119658
scircuit,9447.700000,6899.000000,10564.000000,1075264.410000,1036.949570
