matrix_id,mean_3_kernel_mflops,min_3_kernel_mflops,max_3_kernel_mflops,mse_3_kernel_mflops,stddev_3_kernel_mflops
bcircuit,6281.500000,5903.000000,6778.000000,90517.650000,300.861513
bcsstk14,812.900000,789.000000,872.000000,726.090000,26.946057
boyd2,11771.800000,10494.000000,13038.000000,567922.760000,753.606502
memplus,2348.000000,2191.000000,2557.000000,14370.600000,119.877437
net100,16271.300000,14682.000000,17828.000000,1045428.410000,1022.461936
net125,20051.400000,16735.000000,21198.000000,2120711.240000,1456.266198
net150,22899.000000,19811.000000,24924.000000,2336593.000000,1528.591836
net25,3717.200000,3064.000000,4263.000000,112082.760000,334.787634
net50,9005.600000,7825.000000,10206.000000,405248.240000,636.591109
net75,13142.100000,12233.000000,14680.000000,485486.090000,696.768319
scircuit,14604.700000,12618.000000,16099.000000,848441.810000,921.109011
